event,op,regret,acc,eps_spent,capacity_remaining
261,insert,136861010868565.56,47247.04953816903,0.0,1.0
262,insert,136869603695308.53,131094.063503802,0.0,1.0
263,insert,136898969648121.12,242346.66415113752,0.0,1.0
264,insert,136945258888742.38,304267.1215272958,0.0,1.0
265,insert,136947570328980.4,67991.76770793038,0.0,1.0
266,insert,136949599973902.55,63712.55640988436,0.0,1.0
267,insert,136953708741806.92,90650.62497718389,0.0,1.0
268,insert,136953873677757.6,18162.375982513695,0.0,1.0
269,insert,136984300774824.03,246686.42875695328,0.0,1.0
270,insert,137004426119681.02,200625.74539168872,0.0,1.0
271,insert,137092289400022.98,419197.5198923881,0.0,1.0
272,insert,137092676710496.88,27832.013002579624,0.0,1.0
273,insert,137099745194884.77,118898.98559611525,0.0,1.0
274,insert,137113878990152.05,168129.68368069967,0.0,1.0
275,insert,137114437837108.88,33431.92955306137,0.0,1.0
276,insert,137125939223761.42,151666.6519215483,0.0,1.0
277,insert,137127184147018.58,49898.36183996871,0.0,1.0
278,insert,137128694295260.45,54957.22412699842,0.0,1.0
279,insert,137132518871347.31,87459.4315881054,0.0,1.0
280,insert,137165090953661.36,255233.5491820848,0.0,1.0
281,insert,137178960835932.36,166552.5879174446,0.0,1.0
282,insert,137186868158727.36,125756.294434949,0.0,1.0
283,insert,137201661730955.66,172009.1406192995,0.0,1.0
284,insert,137203641120127.0,62918.823437032464,0.0,1.0
285,insert,137224144193960.98,202499.7473281314,0.0,1.0
286,insert,137251526815096.17,234019.74760769884,0.0,1.0
287,insert,137302523252162.02,319363.2322789914,0.0,1.0
288,insert,137302636021574.64,15017.950101773546,0.0,1.0
289,insert,137319328338581.44,182714.62452027673,0.0,1.0
290,insert,137366976668330.38,308701.5702873711,0.0,1.0
291,insert,137378607307702.61,152516.48679563808,0.0,1.0
292,insert,137394278807145.98,177039.5404612641,0.0,1.0
293,insert,137418113578739.77,218333.55946246604,0.0,1.0
294,insert,137418934499975.14,40519.655363106904,0.0,1.0
295,insert,137421322325385.45,69106.08381765743,0.0,1.0
296,insert,137432245435827.75,147804.6713896065,0.0,1.0
297,insert,137432464833873.23,20947.460251270793,0.0,1.0
298,insert,137432553029913.23,13281.268011746412,0.0,1.0
299,insert,137433027841008.31,30815.94052048325,0.0,1.0
300,insert,137440125889638.2,119147.37621863511,0.0,1.0
301,insert,137441642152006.95,55068.36421655865,0.0,1.0
302,insert,137463971963627.48,211328.23578751774,0.0,1.0
303,insert,137464262926923.3,24123.154678357067,0.0,1.0
304,insert,137478906431094.1,171134.47443920857,0.0,1.0
305,insert,137509644255136.95,247942.8322934817,0.0,1.0
306,insert,137519960324419.31,143638.9173055663,0.0,1.0
307,insert,137520526535980.17,33651.49508888135,0.0,1.0
308,insert,137522261744675.27,58910.248600594976,0.0,1.0
309,insert,137590893760655.58,370491.60848881846,0.0,1.0
310,insert,137598168075120.53,120617.69741589134,0.0,1.0
311,insert,137639624672120.52,287946.51239415444,0.0,1.0
312,insert,137639762360954.03,16594.507133955507,0.0,1.0
313,insert,137640163837444.14,28336.424972459907,0.0,1.0
314,insert,137659677363809.05,197552.65811885556,0.0,1.0
315,insert,137663970903002.39,92666.4900959149,0.0,1.0
316,insert,137671523265404.58,122901.28072721059,0.0,1.0
317,insert,137684675870424.75,162188.80984933343,0.0,1.0
318,insert,137709116479407.9,221090.97215020377,0.0,1.0
319,insert,137719980432459.73,147403.8876815956,0.0,1.0
320,insert,137774021567942.95,328758.6819635865,0.0,1.0
321,insert,137793215845031.95,195929.97263816552,0.0,1.0
