step,regret
50100,[5.54695827e+09]
50200,[5.54695829e+09]
50300,[5.5469583e+09]
50400,[5.5469583e+09]
50500,[5.54695832e+09]
50600,[5.54695833e+09]
50700,[5.54695834e+09]
50800,[5.54695835e+09]
50900,[5.54695836e+09]
51000,[5.54695837e+09]
51100,[5.54695838e+09]
51200,[5.54695839e+09]
51300,[5.5469584e+09]
51400,[5.54695841e+09]
51500,[5.54695842e+09]
51600,[5.54695843e+09]
51700,[5.54695845e+09]
51800,[5.54695846e+09]
51900,[5.54695847e+09]
52000,[5.54695849e+09]
52100,[5.5469585e+09]
52200,[5.54695851e+09]
52300,[5.54695852e+09]
52400,[5.54695854e+09]
52500,[5.54695855e+09]
52600,[5.54695857e+09]
52700,[5.54695858e+09]
52800,[5.5469586e+09]
52900,[5.54695861e+09]
53000,[5.54695861e+09]
53100,[5.54695863e+09]
53200,[5.54695864e+09]
53300,[5.54695865e+09]
53400,[5.54695866e+09]
53500,[5.54695867e+09]
53600,[5.54695869e+09]
53700,[5.5469587e+09]
53800,[5.54695871e+09]
53900,[5.54695872e+09]
54000,[5.54695873e+09]
54100,[5.54695875e+09]
54200,[5.54695876e+09]
54300,[5.54695877e+09]
54400,[5.54695878e+09]
54500,[5.5469588e+09]
54600,[5.54695881e+09]
54700,[5.54695882e+09]
54800,[5.54695883e+09]
54900,[5.54695883e+09]
55000,[5.54695885e+09]
55100,[5.54695886e+09]
55200,[5.54695887e+09]
55300,[5.54695888e+09]
55400,[5.54695889e+09]
55500,[5.5469589e+09]
55600,[5.54695892e+09]
55700,[5.54695893e+09]
55800,[5.54695894e+09]
55900,[5.54695895e+09]
56000,[5.54695896e+09]
56100,[5.54695897e+09]
56200,[5.54695898e+09]
56300,[5.546959e+09]
56400,[5.54695901e+09]
56500,[5.54695902e+09]
56600,[5.54695903e+09]
56700,[5.54695904e+09]
56800,[5.54695906e+09]
56900,[5.54695907e+09]
57000,[5.54695908e+09]
57100,[5.5469591e+09]
57200,[5.5469591e+09]
57300,[5.54695912e+09]
57400,[5.54695913e+09]
57500,[5.54695914e+09]
57600,[5.54695915e+09]
57700,[5.54695916e+09]
57800,[5.54695918e+09]
57900,[5.54695919e+09]
58000,[5.54695921e+09]
58100,[5.54695922e+09]
58200,[5.54695923e+09]
58300,[5.54695924e+09]
58400,[5.54695926e+09]
58500,[5.54695927e+09]
58600,[5.54695928e+09]
58700,[5.5469593e+09]
58800,[5.54695931e+09]
58900,[5.54695934e+09]
59000,[5.54695936e+09]
59100,[5.54695937e+09]
59200,[5.54695938e+09]
59300,[5.54695939e+09]
59400,[5.54695941e+09]
59500,[5.54695942e+09]
59600,[5.54695944e+09]
59700,[5.54695945e+09]
59800,[5.54695946e+09]
59900,[5.54695947e+09]
60000,[5.54695948e+09]
60100,[5.54695949e+09]
60200,[5.5469595e+09]
60300,[5.54695952e+09]
60400,[5.54695953e+09]
60500,[5.54695954e+09]
60600,[5.54695955e+09]
60700,[5.54695957e+09]
60800,[5.54695958e+09]
60900,[5.54695959e+09]
61000,[5.54695962e+09]
61100,[5.54695964e+09]
61200,[5.54695965e+09]
61300,[5.54695966e+09]
61400,[5.54695967e+09]
61500,[5.54695969e+09]
61600,[5.5469597e+09]
61700,[5.54695972e+09]
61800,[5.54695973e+09]
61900,[5.54695975e+09]
62000,[5.54695976e+09]
62100,[5.54695978e+09]
62200,[5.54695979e+09]
62300,[5.5469598e+09]
62400,[5.54695982e+09]
62500,[5.54695982e+09]
62600,[5.54695983e+09]
62700,[5.54695984e+09]
62800,[5.54695986e+09]
62900,[5.54695987e+09]
63000,[5.54695988e+09]
63100,[5.54695989e+09]
63200,[5.5469599e+09]
63300,[5.54695992e+09]
63400,[5.54695993e+09]
63500,[5.54695994e+09]
63600,[5.54695995e+09]
63700,[5.54695996e+09]
63800,[5.54695997e+09]
63900,[5.54695998e+09]
64000,[5.54696e+09]
64100,[5.54696001e+09]
64200,[5.54696002e+09]
64300,[5.54696004e+09]
64400,[5.54696006e+09]
64500,[5.54696007e+09]
64600,[5.54696009e+09]
64700,[5.5469601e+09]
64800,[5.54696011e+09]
64900,[5.54696013e+09]
65000,[5.54696014e+09]
65100,[5.54696015e+09]
65200,[5.54696017e+09]
65300,[5.54696018e+09]
65400,[5.5469602e+09]
65500,[5.54696021e+09]
65600,[5.54696022e+09]
65700,[5.54696024e+09]
65800,[5.54696025e+09]
65900,[5.54696026e+09]
66000,[5.54696028e+09]
66100,[5.54696029e+09]
66200,[5.5469603e+09]
66300,[5.54696031e+09]
66400,[5.54696032e+09]
66500,[5.54696034e+09]
66600,[5.54696035e+09]
66700,[5.54696036e+09]
66800,[5.54696038e+09]
66900,[5.54696039e+09]
67000,[5.5469604e+09]
67100,[5.54696041e+09]
67200,[5.54696042e+09]
67300,[5.54696043e+09]
67400,[5.54696045e+09]
67500,[5.54696046e+09]
67600,[5.54696048e+09]
67700,[5.54696049e+09]
67800,[5.54696051e+09]
67900,[5.54696052e+09]
68000,[5.54696053e+09]
68100,[5.54696055e+09]
68200,[5.54696057e+09]
68300,[5.54696058e+09]
68400,[5.5469606e+09]
68500,[5.54696061e+09]
68600,[5.54696063e+09]
68700,[5.54696064e+09]
