step,regret
41600,[7.45175641e+14]
41700,[7.45175657e+14]
41800,[7.45175671e+14]
41900,[7.45175688e+14]
42000,[7.45175706e+14]
42100,[7.4517572e+14]
42200,[7.45175737e+14]
42300,[7.45175751e+14]
42400,[7.45175762e+14]
42500,[7.45175772e+14]
42600,[7.45175785e+14]
42700,[7.45175799e+14]
42800,[7.4517581e+14]
42900,[7.45175819e+14]
43000,[7.45175831e+14]
43100,[7.45175843e+14]
43200,[7.45175858e+14]
43300,[7.45175867e+14]
43400,[7.45175876e+14]
43500,[7.45175888e+14]
43600,[7.45175899e+14]
43700,[7.45175909e+14]
43800,[7.45175918e+14]
43900,[7.45175927e+14]
44000,[7.45175935e+14]
44100,[7.45175944e+14]
44200,[7.45175954e+14]
44300,[7.45175963e+14]
44400,[7.45175969e+14]
44500,[7.45175977e+14]
44600,[7.45175985e+14]
44700,[7.45175993e+14]
44800,[7.45176e+14]
44900,[7.45176008e+14]
45000,[7.45176014e+14]
45100,[7.45176021e+14]
45200,[7.45176028e+14]
45300,[7.45176035e+14]
45400,[7.45176041e+14]
45500,[7.45176048e+14]
45600,[7.45176053e+14]
45700,[7.45176057e+14]
45800,[7.45176065e+14]
45900,[7.4517607e+14]
46000,[7.45176076e+14]
46100,[7.4517608e+14]
46200,[7.45176085e+14]
46300,[7.45176092e+14]
46400,[7.45176096e+14]
46500,[7.45176102e+14]
46600,[7.45176106e+14]
46700,[7.4517611e+14]
46800,[7.45176114e+14]
46900,[7.45176118e+14]
47000,[7.45176122e+14]
47100,[7.45176127e+14]
47200,[7.45176131e+14]
47300,[7.45176135e+14]
47400,[7.4517614e+14]
47500,[7.45176143e+14]
47600,[7.45176145e+14]
47700,[7.45176149e+14]
47800,[7.45176152e+14]
47900,[7.45176155e+14]
48000,[7.45176158e+14]
48100,[7.45176161e+14]
48200,[7.45176165e+14]
48300,[7.45176168e+14]
48400,[7.45176171e+14]
48500,[7.45176173e+14]
48600,[7.45176176e+14]
48700,[7.45176178e+14]
48800,[7.45176181e+14]
48900,[7.45176183e+14]
49000,[7.45176185e+14]
49100,[7.45176187e+14]
49200,[7.4517619e+14]
49300,[7.45176192e+14]
49400,[7.45176194e+14]
49500,[7.45176197e+14]
49600,[7.45176199e+14]
49700,[7.45176202e+14]
49800,[7.45176203e+14]
49900,[7.45176205e+14]
50000,[7.45176207e+14]
50100,[7.45176209e+14]
50200,[7.45176211e+14]
50300,[7.45176213e+14]
50400,[7.45176215e+14]
50500,[7.45176217e+14]
50600,[7.45176219e+14]
50700,[7.4517622e+14]
50800,[7.45176222e+14]
50900,[7.45176222e+14]
51000,[7.45176224e+14]
51100,[7.45176225e+14]
51200,[7.45176226e+14]
51300,[7.45176228e+14]
51400,[7.45176229e+14]
51500,[7.4517623e+14]
51600,[7.45176232e+14]
51700,[7.45176233e+14]
51800,[7.45176234e+14]
51900,[7.45176235e+14]
52000,[7.45176237e+14]
52100,[7.45176238e+14]
52200,[7.45176239e+14]
52300,[7.4517624e+14]
52400,[7.45176241e+14]
52500,[7.45176242e+14]
52600,[7.45176243e+14]
52700,[7.45176244e+14]
52800,[7.45176245e+14]
52900,[7.45176246e+14]
53000,[7.45176247e+14]
53100,[7.45176247e+14]
53200,[7.45176248e+14]
53300,[7.45176249e+14]
53400,[7.4517625e+14]
53500,[7.45176251e+14]
53600,[7.45176252e+14]
53700,[7.45176253e+14]
53800,[7.45176253e+14]
53900,[7.45176254e+14]
54000,[7.45176255e+14]
54100,[7.45176255e+14]
54200,[7.45176256e+14]
54300,[7.45176257e+14]
54400,[7.45176257e+14]
54500,[7.45176258e+14]
54600,[7.45176259e+14]
54700,[7.45176259e+14]
54800,[7.4517626e+14]
54900,[7.4517626e+14]
55000,[7.45176261e+14]
55100,[7.45176262e+14]
55200,[7.45176262e+14]
55300,[7.45176262e+14]
55400,[7.45176263e+14]
55500,[7.45176263e+14]
55600,[7.45176264e+14]
55700,[7.45176264e+14]
55800,[7.45176265e+14]
55900,[7.45176265e+14]
56000,[7.45176266e+14]
56100,[7.45176266e+14]
56200,[7.45176267e+14]
56300,[7.45176267e+14]
56400,[7.45176267e+14]
56500,[7.45176268e+14]
56600,[7.45176268e+14]
56700,[7.45176268e+14]
56800,[7.45176268e+14]
56900,[7.45176269e+14]
57000,[7.45176269e+14]
57100,[7.45176269e+14]
57200,[7.4517627e+14]
57300,[7.4517627e+14]
57400,[7.4517627e+14]
57500,[7.45176271e+14]
57600,[7.45176271e+14]
57700,[7.45176271e+14]
57800,[7.45176271e+14]
57900,[7.45176272e+14]
58000,[7.45176272e+14]
58100,[7.45176272e+14]
58200,[7.45176272e+14]
58300,[7.45176272e+14]
58400,[7.45176273e+14]
58500,[7.45176273e+14]
58600,[7.45176273e+14]
58700,[7.45176273e+14]
58800,[7.45176274e+14]
58900,[7.45176274e+14]
59000,[7.45176274e+14]
59100,[7.45176274e+14]
59200,[7.45176274e+14]
59300,[7.45176274e+14]
59400,[7.45176275e+14]
59500,[7.45176275e+14]
59600,[7.45176275e+14]
59700,[7.45176275e+14]
59800,[7.45176275e+14]
59900,[7.45176275e+14]
60000,[7.45176276e+14]
60100,[7.45176276e+14]
60200,[7.45176276e+14]
60300,[7.45176276e+14]
60400,[7.45176276e+14]
60500,[7.45176276e+14]
60600,[7.45176276e+14]
60700,[7.45176276e+14]
60800,[7.45176277e+14]
60900,[7.45176277e+14]
61000,[7.45176277e+14]
61100,[7.45176277e+14]
61200,[7.45176277e+14]
61300,[7.45176277e+14]
61400,[7.45176277e+14]
61500,[7.45176277e+14]
61600,[7.45176277e+14]
61700,[7.45176277e+14]
61800,[7.45176278e+14]
61900,[7.45176278e+14]
62000,[7.45176278e+14]
62100,[7.45176278e+14]
62200,[7.45176278e+14]
62300,[7.45176278e+14]
62400,[7.45176278e+14]
62500,[7.45176278e+14]
62600,[7.45176278e+14]
62700,[7.45176278e+14]
62800,[7.45176278e+14]
62900,[7.45176278e+14]
63000,[7.45176279e+14]
63100,[7.45176279e+14]
63200,[7.45176279e+14]
63300,[7.45176279e+14]
63400,[7.45176279e+14]
63500,[7.45176279e+14]
63600,[7.45176279e+14]
63700,[7.45176279e+14]
63800,[7.45176279e+14]
63900,[7.45176279e+14]
64000,[7.45176279e+14]
64100,[7.45176279e+14]
64200,[7.45176279e+14]
64300,[7.45176279e+14]
64400,[7.45176279e+14]
64500,[7.45176279e+14]
64600,[7.45176279e+14]
64700,[7.45176279e+14]
64800,[7.4517628e+14]
64900,[7.4517628e+14]
65000,[7.4517628e+14]
65100,[7.4517628e+14]
65200,[7.4517628e+14]
65300,[7.4517628e+14]
65400,[7.4517628e+14]
65500,[7.4517628e+14]
65600,[7.4517628e+14]
65700,[7.4517628e+14]
65800,[7.4517628e+14]
65900,[7.4517628e+14]
66000,[7.4517628e+14]
66100,[7.4517628e+14]
66200,[7.4517628e+14]
66300,[7.4517628e+14]
66400,[7.4517628e+14]
66500,[7.4517628e+14]
66600,[7.4517628e+14]
66700,[7.4517628e+14]
66800,[7.4517628e+14]
66900,[7.4517628e+14]
67000,[7.4517628e+14]
67100,[7.4517628e+14]
67200,[7.4517628e+14]
67300,[7.4517628e+14]
67400,[7.4517628e+14]
67500,[7.4517628e+14]
67600,[7.4517628e+14]
67700,[7.4517628e+14]
67800,[7.4517628e+14]
67900,[7.4517628e+14]
68000,[7.4517628e+14]
68100,[7.4517628e+14]
68200,[7.45176281e+14]
68300,[7.45176281e+14]
68400,[7.45176281e+14]
68500,[7.45176281e+14]
68600,[7.45176281e+14]
68700,[7.45176281e+14]
68800,[7.45176281e+14]
68900,[7.45176281e+14]
69000,[7.45176281e+14]
69100,[7.45176281e+14]
69200,[7.45176281e+14]
69300,[7.45176281e+14]
69400,[7.45176281e+14]
69500,[7.45176281e+14]
69600,[7.45176281e+14]
69700,[7.45176281e+14]
69800,[7.45176281e+14]
69900,[7.45176281e+14]
70000,[7.45176281e+14]
70100,[7.45176281e+14]
70200,[7.45176281e+14]
70300,[7.45176281e+14]
70400,[7.45176281e+14]
70500,[7.45176281e+14]
70600,[7.45176281e+14]
70700,[7.45176281e+14]
70800,[7.45176281e+14]
70900,[7.45176281e+14]
71000,[7.45176281e+14]
71100,[7.45176281e+14]
71200,[7.45176281e+14]
71300,[7.45176281e+14]
71400,[7.45176281e+14]
71500,[7.45176281e+14]
71600,[7.45176281e+14]
71700,[7.45176281e+14]
71800,[7.45176281e+14]
71900,[7.45176281e+14]
72000,[7.45176281e+14]
72100,[7.45176281e+14]
72200,[7.45176281e+14]
72300,[7.45176281e+14]
72400,[7.45176281e+14]
72500,[7.45176281e+14]
72600,[7.45176281e+14]
72700,[7.45176281e+14]
72800,[7.45176281e+14]
72900,[7.45176281e+14]
73000,[7.45176281e+14]
73100,[7.45176281e+14]
73200,[7.45176281e+14]
73300,[7.45176281e+14]
73400,[7.45176281e+14]
73500,[7.45176281e+14]
73600,[7.45176281e+14]
73700,[7.45176281e+14]
73800,[7.45176281e+14]
73900,[7.45176281e+14]
74000,[7.45176281e+14]
74100,[7.45176281e+14]
74200,[7.45176281e+14]
74300,[7.45176281e+14]
74400,[7.45176281e+14]
74500,[7.45176281e+14]
74600,[7.45176281e+14]
74700,[7.45176281e+14]
74800,[7.45176281e+14]
74900,[7.45176281e+14]
75000,[7.45176281e+14]
75100,[7.45176281e+14]
75200,[7.45176281e+14]
75300,[7.45176281e+14]
75400,[7.45176281e+14]
75500,[7.45176281e+14]
75600,[7.45176281e+14]
75700,[7.45176281e+14]
75800,[7.45176281e+14]
75900,[7.45176281e+14]
76000,[7.45176281e+14]
76100,[7.45176281e+14]
76200,[7.45176281e+14]
76300,[7.45176281e+14]
76400,[7.45176281e+14]
76500,[7.45176281e+14]
76600,[7.45176281e+14]
76700,[7.45176281e+14]
76800,[7.45176281e+14]
76900,[7.45176281e+14]
77000,[7.45176281e+14]
77100,[7.45176281e+14]
77200,[7.45176281e+14]
77300,[7.45176281e+14]
77400,[7.45176281e+14]
77500,[7.45176281e+14]
77600,[7.45176281e+14]
77700,[7.45176281e+14]
77800,[7.45176281e+14]
77900,[7.45176281e+14]
78000,[7.45176281e+14]
78100,[7.45176281e+14]
78200,[7.45176281e+14]
78300,[7.45176281e+14]
78400,[7.45176281e+14]
78500,[7.45176281e+14]
78600,[7.45176281e+14]
78700,[7.45176281e+14]
78800,[7.45176281e+14]
78900,[7.45176281e+14]
79000,[7.45176281e+14]
79100,[7.45176281e+14]
79200,[7.45176281e+14]
79300,[7.45176281e+14]
79400,[7.45176281e+14]
79500,[7.45176281e+14]
79600,[7.45176281e+14]
79700,[7.45176281e+14]
79800,[7.45176281e+14]
79900,[7.45176281e+14]
80000,[7.45176281e+14]
80100,[7.45176281e+14]
80200,[7.45176281e+14]
80300,[7.45176281e+14]
80400,[7.45176281e+14]
80500,[7.45176281e+14]
80600,[7.45176281e+14]
80700,[7.45176281e+14]
80800,[7.45176281e+14]
80900,[7.45176281e+14]
81000,[7.45176281e+14]
81100,[7.45176281e+14]
81200,[7.45176281e+14]
81300,[7.45176281e+14]
81400,[7.45176281e+14]
81500,[7.45176281e+14]
81600,[7.45176281e+14]
81700,[7.45176281e+14]
81800,[7.45176281e+14]
81900,[7.45176281e+14]
82000,[7.45176281e+14]
82100,[7.45176281e+14]
82200,[7.45176281e+14]
82300,[7.45176281e+14]
82400,[7.45176281e+14]
82500,[7.45176281e+14]
82600,[7.45176281e+14]
82700,[7.45176281e+14]
82800,[7.45176281e+14]
82900,[7.45176281e+14]
83000,[7.45176281e+14]
83100,[7.45176281e+14]
83200,[7.45176281e+14]
83300,[7.45176281e+14]
83400,[7.45176281e+14]
83500,[7.45176281e+14]
83600,[7.45176281e+14]
83700,[7.45176281e+14]
83800,[7.45176281e+14]
83900,[7.45176281e+14]
84000,[7.45176281e+14]
84100,[7.45176281e+14]
84200,[7.45176281e+14]
84300,[7.45176281e+14]
84400,[7.45176281e+14]
84500,[7.45176281e+14]
84600,[7.45176281e+14]
84700,[7.45176281e+14]
84800,[7.45176281e+14]
84900,[7.45176281e+14]
85000,[7.45176281e+14]
85100,[7.45176281e+14]
85200,[7.45176281e+14]
85300,[7.45176281e+14]
85400,[7.45176281e+14]
85500,[7.45176281e+14]
85600,[7.45176281e+14]
85700,[7.45176281e+14]
85800,[7.45176281e+14]
85900,[7.45176281e+14]
86000,[7.45176281e+14]
86100,[7.45176281e+14]
86200,[7.45176281e+14]
86300,[7.45176281e+14]
86400,[7.45176281e+14]
86500,[7.45176281e+14]
86600,[7.45176281e+14]
86700,[7.45176281e+14]
86800,[7.45176281e+14]
86900,[7.45176281e+14]
87000,[7.45176281e+14]
87100,[7.45176281e+14]
87200,[7.45176281e+14]
87300,[7.45176281e+14]
87400,[7.45176281e+14]
87500,[7.45176281e+14]
87600,[7.45176281e+14]
87700,[7.45176281e+14]
87800,[7.45176281e+14]
87900,[7.45176281e+14]
88000,[7.45176281e+14]
88100,[7.45176281e+14]
88200,[7.45176281e+14]
88300,[7.45176281e+14]
88400,[7.45176281e+14]
88500,[7.45176281e+14]
88600,[7.45176281e+14]
88700,[7.45176281e+14]
88800,[7.45176281e+14]
88900,[7.45176281e+14]
89000,[7.45176281e+14]
89100,[7.45176281e+14]
89200,[7.45176281e+14]
89300,[7.45176281e+14]
89400,[7.45176281e+14]
89500,[7.45176281e+14]
89600,[7.45176281e+14]
89700,[7.45176281e+14]
89800,[7.45176281e+14]
89900,[7.45176281e+14]
90000,[7.45176281e+14]
90100,[7.45176281e+14]
90200,[7.45176281e+14]
90300,[7.45176281e+14]
90400,[7.45176281e+14]
90500,[7.45176281e+14]
90600,[7.45176281e+14]
90700,[7.45176281e+14]
90800,[7.45176281e+14]
90900,[7.45176281e+14]
91000,[7.45176281e+14]
91100,[7.45176281e+14]
91200,[7.45176281e+14]
91300,[7.45176281e+14]
91400,[7.45176281e+14]
91500,[7.45176281e+14]
91600,[7.45176281e+14]
91700,[7.45176281e+14]
91800,[7.45176281e+14]
91900,[7.45176281e+14]
92000,[7.45176281e+14]
92100,[7.45176281e+14]
92200,[7.45176281e+14]
92300,[7.45176281e+14]
92400,[7.45176281e+14]
92500,[7.45176281e+14]
92600,[7.45176281e+14]
92700,[7.45176281e+14]
92800,[7.45176281e+14]
92900,[7.45176281e+14]
93000,[7.45176281e+14]
93100,[7.45176281e+14]
93200,[7.45176281e+14]
93300,[7.45176281e+14]
93400,[7.45176281e+14]
93500,[7.45176281e+14]
93600,[7.45176281e+14]
93700,[7.45176281e+14]
93800,[7.45176281e+14]
93900,[7.45176281e+14]
94000,[7.45176281e+14]
94100,[7.45176281e+14]
94200,[7.45176281e+14]
94300,[7.45176281e+14]
94400,[7.45176281e+14]
94500,[7.45176281e+14]
94600,[7.45176281e+14]
94700,[7.45176281e+14]
94800,[7.45176281e+14]
94900,[7.45176281e+14]
95000,[7.45176281e+14]
95100,[7.45176281e+14]
95200,[7.45176281e+14]
95300,[7.45176281e+14]
95400,[7.45176281e+14]
95500,[7.45176281e+14]
95600,[7.45176281e+14]
95700,[7.45176281e+14]
95800,[7.45176281e+14]
95900,[7.45176281e+14]
96000,[7.45176281e+14]
96100,[7.45176281e+14]
96200,[7.45176281e+14]
96300,[7.45176281e+14]
96400,[7.45176281e+14]
96500,[7.45176281e+14]
96600,[7.45176281e+14]
96700,[7.45176281e+14]
96800,[7.45176281e+14]
96900,[7.45176281e+14]
97000,[7.45176281e+14]
97100,[7.45176281e+14]
97200,[7.45176281e+14]
97300,[7.45176281e+14]
97400,[7.45176281e+14]
97500,[7.45176281e+14]
97600,[7.45176281e+14]
97700,[7.45176281e+14]
97800,[7.45176281e+14]
97900,[7.45176281e+14]
98000,[7.45176281e+14]
98100,[7.45176281e+14]
98200,[7.45176281e+14]
98300,[7.45176281e+14]
98400,[7.45176281e+14]
98500,[7.45176281e+14]
98600,[7.45176281e+14]
98700,[7.45176281e+14]
98800,[7.45176281e+14]
98900,[7.45176281e+14]
99000,[7.45176281e+14]
99100,[7.45176281e+14]
99200,[7.45176281e+14]
99300,[7.45176281e+14]
99400,[7.45176281e+14]
99500,[7.45176281e+14]
99600,[7.45176281e+14]
99700,[7.45176281e+14]
99800,[7.45176281e+14]
